Slot 1,Slot 2,Slot 3
-,-,-
-,-,FIRE
-,-,WATER
-,-,AIR
-,-,ELECTRO
-,-,EARTH
-,FIRE,FIRE
-,FIRE,WATER
-,FIRE,AIR
-,FIRE,ELECTRO
-,FIRE,EARTH
-,WATER,WATER
-,WATER,AIR
-,WATER,ELECTRO
-,WATER,EARTH
-,AIR,AIR
-,AIR,ELECTRO
-,AIR,EARTH
-,ELECTRO,ELECTRO
-,ELECTRO,EARTH
-,EARTH,EARTH
FIRE,FIRE,FIRE
FIRE,FIRE,WATER
FIRE,FIRE,AIR
FIRE,FIRE,ELECTRO
FIRE,FIRE,EARTH
FIRE,WATER,WATER
FIRE,WATER,AIR
FIRE,WATER,ELECTRO
FIRE,WATER,EARTH
FIRE,AIR,AIR
FIRE,AIR,ELECTRO
FIRE,AIR,EARTH
FIRE,ELECTRO,ELECTRO
FIRE,ELECTRO,EARTH
FIRE,EARTH,EARTH
WATER,WATER,WATER
WATER,WATER,AIR
WATER,WATER,ELECTRO
WATER,WATER,EARTH
WATER,AIR,AIR
WATER,AIR,ELECTRO
WATER,AIR,EARTH
WATER,ELECTRO,ELECTRO
WATER,ELECTRO,EARTH
WATER,EARTH,EARTH
AIR,AIR,AIR
AIR,AIR,ELECTRO
AIR,AIR,EARTH
AIR,ELECTRO,ELECTRO
AIR,ELECTRO,EARTH
AIR,EARTH,EARTH
ELECTRO,ELECTRO,ELECTRO
ELECTRO,ELECTRO,EARTH
ELECTRO,EARTH,EARTH
EARTH,EARTH,EARTH
